苏州频道,#genre#
苏州新闻综合,https://liveshowbak2.kan0512.com/norecord/tv_csztv1.m3u8
苏州新闻综合,https://tylive.kan0512.com/norecord/norecord_csztv1.m3u8
苏州社会经济,https://tylive.kan0512.com/norecord/norecord_csztv2.m3u8
苏州文化生活,https://tylive.kan0512.com/norecord/norecord_csztv3.m3u8
苏州电影娱乐,https://liveshowbak2.kan0512.com/norecord/tv_csztv4.m3u8
苏州生活资讯,https://tylive.kan0512.com/norecord/norecord_csztv5.m3u8
苏州4K频道,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8

央视频道,#genre#
CCTV1,http://122.97.211.142:8114/FvSeid=605430ef14596959&Fsv_filetype=1&Fsv_ctype=LIVE&Fsv_cid=7172&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_CBt=8010064&Fsv_otype=0&Provider_id=JSBC_iptv&Pcontent_id=C10000037@JSBC&Fsv_CMSID=704
CCTV2,http://157.0.143.37:8106/JSBC_iptv/C10000038@JSBC
CCTV3,http://157.0.143.37:8106/JSBC_iptv/C10000220@JSBC
CCTV4,http://157.0.143.37:8106/JSBC_iptv/C10000039@JSBC
CCTV5,http://122.97.211.133:8106/JSBC_iptv/C10000221@JSBC
CCTV5,http://122.97.211.149:8114/JSBC_iptv/C10000009@JSBC?FvSeid=1&Fsv_filetype=1&Fsv_ctype=LIVE&Fsv_cid=7143&Provider_id=1&Pcontent_id=C10000009@JSBC
CCTV6,http://122.97.211.133:8106/JSBC_iptv/C10000222@JSBC
CCTV6,http://122.97.211.139:8114/JSBC_iptv/C10000018@JSBC?FvSeid=1&Fsv_filetype=1&Fsv_ctype=LIVE&Fsv_cid=7153&Provider_id=1&Pcontent_id=C10000018@JSBC
CCTV7,http://122.97.211.136:8114/JSBC_iptv/C10000196@JSBC?FvSeid=1&Fsv_filetype=1&Fsv_ctype=LIVE&Fsv_cid=426205&Provider_id=1&Pcontent_id=C10000196@JSBC
CCTV8,http://122.97.211.133:8106/JSBC_iptv/C10000223@JSBC
CCTV8,http://122.97.211.141:8114/JSBC_iptv/C10000020@JSBC?FvSeid=1&Fsv_filetype=1&Fsv_ctype=LIVE&Fsv_cid=7154&Provider_id=1&Pcontent_id=C10000020@JSBC
CCTV5+,http://157.0.143.37:8106/JSBC_iptv/C10000040@JSBC
CCTV9,http://157.0.143.37:8106/JSBC_iptv/C10000042@JSBC
CCTV10,http://157.0.143.37:8106/JSBC_iptv/C10000119@JSBC
CCTV12,http://157.0.143.37:8106/JSBC_iptv/C10000120@JSBC
CCTV13,http://157.0.143.37:8106/JSBC_iptv/C10000232@JSBC
CCTV14,http://157.0.143.37:8106/JSBC_iptv/C10000121@JSBC
CCTV17,http://157.0.143.37:8106/JSBC_iptv/C10000041@JSBC
CETV1,http://157.0.143.37:8106/JSBC_iptv/C10000173@JSBC
电视指南,http://157.0.143.37:8106/JSBC_iptv/C10000203@JSBC
风云足球,http://157.0.143.37:8106/JSBC_iptv/C10000204@JSBC
高尔夫网球,http://157.0.143.37:8106/JSBC_iptv/C10000205@JSBC
世界地理,http://157.0.143.37:8106/JSBC_iptv/C10000206@JSBC
兵器科技,http://157.0.143.37:8106/JSBC_iptv/C10000207@JSBC
风云剧场,http://157.0.143.37:8106/JSBC_iptv/C10000208@JSBC
风云音乐,http://157.0.143.37:8106/JSBC_iptv/C10000211@JSBC
女性时尚,http://157.0.143.37:8106/JSBC_iptv/C10000212@JSBC
央视精品,http://157.0.143.37:8106/JSBC_iptv/C10000209@JSBC
央视怀旧,http://157.0.143.37:8106/JSBC_iptv/C10000210@JSBC
CCTV2,http://122.97.211.142:8114/FvSeid=605430ef14596959&Fsv_filetype=1&Fsv_ctype=LIVE&Fsv_cid=7173&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_CBt=8010064&Fsv_otype=0&Provider_id=JSBC_iptv&Pcontent_id=C10000037@JSBC&Fsv_CMSID=704
CCTV5+,http://122.97.211.142:8114/FvSeid=605430ef14596959&Fsv_filetype=1&Fsv_ctype=LIVE&Fsv_cid=7174&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_CBt=8010064&Fsv_otype=0&Provider_id=JSBC_iptv&Pcontent_id=C10000037@JSBC&Fsv_CMSID=704

卫视频道,#genre#
江苏卫视,http://157.0.143.37:8106/JSBC_iptv/C10000015@JSBC
江苏卫视备,http://157.0.143.37:8106/JSBC_iptv/C10000143@JSBC
湖南卫视,http://157.0.143.37:8106/JSBC_iptv/C10000043@JSBC
金鹰纪实,http://157.0.143.37:8106/JSBC_iptv/C10000187@JSBC
浙江卫视,http://157.0.143.37:8106/JSBC_iptv/C10000044@JSBC
东方卫视,http://157.0.143.37:8106/JSBC_iptv/C10000045@JSBC
北京卫视,http://157.0.143.37:8106/JSBC_iptv/C10000046@JSBC
广东卫视,http://157.0.143.37:8106/JSBC_iptv/C10000047@JSBC
深圳卫视,http://157.0.143.37:8106/JSBC_iptv/C10000048@JSBC
安徽卫视,http://157.0.143.37:8106/JSBC_iptv/C10000192@JSBC
河南卫视,http://157.0.143.37:8106/JSBC_iptv/C10000185@JSBC
黑龙江卫视,http://157.0.143.37:8106/JSBC_iptv/C10000050@JSBC
山东卫视,http://157.0.143.37:8106/JSBC_iptv/C10000049@JSBC
湖北卫视,http://157.0.143.37:8106/JSBC_iptv/C10000051@JSBC
天津卫视,http://157.0.143.37:8106/JSBC_iptv/C10000052@JSBC
重庆卫视,http://157.0.143.37:8106/JSBC_iptv/C10000053@JSBC
四川卫视,http://157.0.143.37:8106/JSBC_iptv/C10000167@JSBC
江西卫视,http://157.0.143.37:8106/JSBC_iptv/C10000168@JSBC
东南卫视],http://157.0.143.37:8106/JSBC_iptv/C10000169@JSBC
吉林卫视,http://157.0.143.37:8106/JSBC_iptv/C10000170@JSBC
贵州卫视,http://157.0.143.37:8106/JSBC_iptv/C10000171@JSBC
